data,stazione,valore
2025-01-01,ST001,103.71
2025-01-01,ST001,97.03
2025-01-01,ST003,97.95
2025-01-01,ST003,68.75
2025-01-02,ST002,96.73
2025-01-02,ST003,94.69
2025-01-02,ST004,93.66
2025-01-02,ST004,110.89
2025-01-03,ST001,98.18
2025-01-03,ST004,102.06
2025-01-03,ST004,96.13
2025-01-03,ST004,108.42
2025-01-04,ST002,86.25
2025-01-07,ST002,115.24
2025-01-07,ST003,91.9
2025-01-09,ST002,96.58
2025-01-09,ST002,112.43
2025-01-10,ST003,98.19
2025-01-10,ST004,103.47
2025-01-11,ST001,98.27
2025-01-12,ST002,105.61
2025-01-14,ST001,99.19
2025-01-14,ST002,87.13
2025-01-14,ST003,119.08
2025-01-15,ST004,100.26
2025-01-16,ST002,110.2
2025-01-16,ST004,89.55
2025-01-16,ST004,112.99
2025-01-17,ST003,77.33
2025-01-17,ST003,90.97
2025-01-17,ST004,99.45
2025-01-17,ST004,109.74
2025-01-18,ST003,104.6
2025-01-18,ST004,103.61
2025-01-19,ST003,92.64
2025-01-21,ST001,107.07
2025-01-21,ST004,114.9
2025-01-22,ST004,98.39
2025-01-23,ST003,95.93
2025-01-24,ST003,93.72
2025-01-24,ST004,103.14
2025-01-25,ST001,118.14
2025-01-26,ST004,100.25
2025-01-27,ST001,99.92
2025-01-27,ST001,103.04
2025-01-28,ST001,92.42
2025-01-28,ST004,77.92
2025-01-29,ST002,100.78
2025-01-29,ST003,82
2025-01-29,ST004,106.51
