data,tipo_forestale,ndvi,biomassa_t_ha
2024-01-01,latifoglie,0.391,59.6
2024-02-01,latifoglie,0.562,96.5
2024-03-01,latifoglie,0.378,66.8
2024-04-01,latifoglie,0.718,101.1
2024-05-01,latifoglie,0.255,64.6
2024-06-01,latifoglie,0.494,86.9
2024-07-01,latifoglie,0.584,92.8
2024-08-01,latifoglie,0.251,48.5
2024-09-01,latifoglie,0.628,106.1
2024-10-01,latifoglie,0.353,60.5
2024-11-01,latifoglie,0.483,41.7
2024-12-01,latifoglie,0.67,107.2
2025-01-01,latifoglie,0.754,111.2
2025-02-01,latifoglie,0.616,98.5
2025-03-01,latifoglie,0.402,73.3
2025-04-01,latifoglie,0.308,69.9
2025-05-01,latifoglie,0.306,44.1
2025-06-01,latifoglie,0.448,88.4
2025-07-01,latifoglie,0.684,109.8
2025-08-01,latifoglie,0.25,57.5
2025-09-01,latifoglie,0.386,75.1
2025-10-01,latifoglie,0.856,138.5
2025-11-01,latifoglie,0.852,116.8
2025-12-01,latifoglie,0.727,110.7
